N_req,Method,Feasible,Total,MeanPower_mW,MeanPCRBRatio,MeanSumRate_bpsHz,MeanSensingSINR_dB,MeanNonzeroSensingAPs,ActivePairInvariantRate
2,Proposed full recovery,30,30,37.6535493396617,0.999989987637781,4.1074866162364,13.3028859903697,3.23333333333333,1
2,FIM-greedy topology,30,30,37.9271042117171,0.99998825753691,4.10230677361384,13.4237604874263,3.23333333333333,1
2,Nearest-AP topology,24,30,52.2198572725016,0.99998981291081,4.07855177238866,14.4810244189489,3.125,1
2,Random topology,1,30,71.610201015605,0.999972612720039,3.73329398683659,14.9515791230837,3,1
3,Proposed full recovery,30,30,30.8285539787109,0.999996139234078,4.1254116355539,12.8226488645517,4.46666666666667,1
3,FIM-greedy topology,30,30,30.9271305795805,0.999995953424969,4.10799598743513,12.847574174333,4.53333333333333,1
3,Nearest-AP topology,30,30,39.2859351339415,0.999993585189687,4.12138207283568,13.6490500700577,4.56666666666667,1
3,Random topology,10,30,115.82223171061,0.999915178335486,3.97455665153412,14.6258809529772,4.9,1
4,Proposed full recovery,30,30,29.4991579787003,0.999997605684385,4.30553448914722,12.5049957815214,5.16666666666667,1
4,FIM-greedy topology,30,30,29.6375786019149,0.999997051885526,4.23628234521834,12.769105257231,5.26666666666667,1
4,Nearest-AP topology,30,30,31.3231210788947,0.999997573026288,4.26616581581743,12.4717296351264,5.23333333333333,1
4,Random topology,20,30,86.2584579898552,0.999992829267909,4.12027921746729,14.2295949699022,5.2,1
5,Proposed full recovery,30,30,29.739680011345,0.999998331425623,4.59572396010908,11.8359633216181,5.8,1
5,FIM-greedy topology,30,30,29.8821363095193,0.999997578558076,4.55661967797553,11.919796037694,5.8,1
5,Nearest-AP topology,30,30,30.6281650279132,0.999998634518892,4.64159586661008,12.2506499012246,5.7,1
5,Random topology,26,30,49.5348760801301,0.999994614894691,4.56062363046607,11.8539669491183,5.73076923076923,1
6,Proposed full recovery,30,30,30.9388323809046,0.999999787374539,4.89526326505929,11.7582068889637,6,1
6,FIM-greedy topology,30,30,30.9388325200953,0.999999780738727,4.89526450149986,11.7582051341591,6,1
6,Nearest-AP topology,30,30,30.9388325200953,0.999999780738727,4.89526450149986,11.7582051341591,6,1
6,Random topology,30,30,30.9388325200953,0.999999780738727,4.89526450149986,11.7582051341591,6,1
