N_req,proposed_feasibility,nearest_feasibility,proposed_power_given_feasible_W,nearest_power_given_feasible_W,proposed_active_APs_given_feasible,nearest_active_APs_given_feasible,proposed_rate_given_feasible,nearest_rate_given_feasible,proposed_mean_PCRB_given_feasible,nearest_mean_PCRB_given_feasible,proposed_sensing_SINR_dB_given_feasible,nearest_sensing_SINR_dB_given_feasible,proposed_outage_given_feasible,nearest_outage_given_feasible,proposed_realized_sensing_APs_per_target,nearest_realized_sensing_APs_per_target,joint_feasibility,proposed_power_jointly_feasible_W,nearest_power_jointly_feasible_W
1,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN
2,1,0.8,0.0330937300072583,0.0351806458746769,3.6,3.5,6.8097542838516,7.15011669073469,513.865689111784,639.343258659319,3.45110939860667,3.19565540576891,0,0,2,2,0.8,0.0351806458746769,0.0351806458746769
3,1,1,0.0166793030304304,0.0230156232411459,4.4,4.2,6.53440468663743,6.7730094475942,513.860252635931,513.860242042161,3.32816504154263,5.03828350788805,0,0,3,3,1,0.0166793030304304,0.0230156232411459
4,1,1,0.0154646187771727,0.0157959337872917,5.2,5,6.54659309812417,6.60529366353578,513.864823270393,513.864832503874,3.21132661293957,3.50097924885548,0,0,4,4,1,0.0154646187771727,0.0157959337872917
